id,title,company_name,location,link,image_url,salary_min,salary_max,published_date_parsed,metadata
38d38f7b-4778-42aa-a0c0-fb3c0aade6e0,Customer Success Manager,elevenlabs,"Singapore, Singapore",https://www.techinasia.com/jobs/38d38f7b-4778-42aa-a0c0-fb3c0aade6e0,https://cdn.techinasia.com/data/images/rBnJUr063jqEodlMcUYAlTH8t5LdUGOf6fRYDcKb.jpeg,,,,"Customer Service,Full-time"
a809f67c-1283-4259-9eec-d4c4cc5c55cd,"Senior Software Engineer, Babylon Core",babylon labs,"Singapore, Singapore",https://www.techinasia.com/jobs/a809f67c-1283-4259-9eec-d4c4cc5c55cd,https://cdn.techinasia.com/data/images/wRYTH7cQH9ANEScz6sMY3U7Ul0ZYL0G2taknL1JB.jpeg,,,,"Software Engineer,Internet technology,Full-time"
69eaff53-8dc5-4306-afae-b5e6320217b8,Technical Support Engineer,posthog,"Singapore, Singapore",https://www.techinasia.com/jobs/69eaff53-8dc5-4306-afae-b5e6320217b8,https://cdn.techinasia.com/data/images/Ueg3NrtwUtsNeTs9etZyFhSkedpuWOKYCBjke9DT.jpeg,,,,"Customer Service,Software,Full-time"
2fc4777a-856d-4f88-98a2-a1b254f090af,Software Engineer,allium,"Singapore, Singapore",https://www.techinasia.com/jobs/2fc4777a-856d-4f88-98a2-a1b254f090af,https://cdn.techinasia.com/data/images/uqEu6VzxcxG3o6q113nLGPI6r0vOkNGWDSx3ONgx.jpeg,,,,"Software Engineer,Big Data,Full-time"
ca404f72-e544-47fb-a0da-179d6cc1ffcf,Field Data Engineer (APAC),ascend,"Singapore, Singapore",https://www.techinasia.com/jobs/ca404f72-e544-47fb-a0da-179d6cc1ffcf,https://cdn.techinasia.com/data/images/N6CXXG0eAXtrXAToiVmnDF4beLfT4z6swZCiIRpn.jpeg,,,,"Data & Analytics,Software,Full-time"
3a2a3933-e49c-4054-82ea-fbbd55ae98ad,"Senior Analyst, GTM Analytics",snowflake,"Singapore, Singapore",https://www.techinasia.com/jobs/3a2a3933-e49c-4054-82ea-fbbd55ae98ad,https://cdn.techinasia.com/data/images/gJuMCqVbcU30texUCgz6tnGUyemTdHY3qkrqlBil.jpeg,,,,"Data & Analytics,SaaS,Full-time"
f8ecaf73-c514-4769-aacf-da1821526978,Senior Engineer - Crypto Accounting Systems,coinhako,"Singapore, Singapore",https://www.techinasia.com/jobs/f8ecaf73-c514-4769-aacf-da1821526978,https://cdn.techinasia.com/data/images/h6fY91jF9nQpDS1xSr31iHVoH6bzWduQc2WBOOCN.jpeg,,,,"Software Engineer,Payments and remittance,Full-time"
9b59f389-0bf7-4f4d-8ad6-5241b10d9c50,Senior Full Stack Engineer (AI),jenni.ai,"Singapore, Singapore",https://www.techinasia.com/jobs/9b59f389-0bf7-4f4d-8ad6-5241b10d9c50,https://cdn.techinasia.com/data/images/ghrGKe7372uxBnt5nSS9NVyRObceLk1rViXKeFr4.jpeg,,,,"Software Engineer,Artificial Intelligence,Full-time"
ab2019a2-b028-47dc-83d7-f76635b9c9ee,Senior QA Engineer - Network Protocols,expressvpn,"Singapore, Singapore",https://www.techinasia.com/jobs/ab2019a2-b028-47dc-83d7-f76635b9c9ee,https://cdn.techinasia.com/data/images/3Wkuh59I6OjveSgNYADlkmI5eHBoGuLid3cei32A.jpeg,,,,"QA & Testing,Network Security,Full-time"
e847afbf-2b87-4509-970a-75a980a1ff79,QA Engineer,workstream,"Singapore, Singapore",https://www.techinasia.com/jobs/e847afbf-2b87-4509-970a-75a980a1ff79,https://cdn.techinasia.com/data/images/wC1CboYLCqaU6RHyvyhGBzgnlQvHuwR9XV2a1bhr.jpeg,,,,"QA & Testing,Software,Full-time"
